pzs_12;IDENTIFZAR;pzs_8;pzs_6;pzs_ico
P12928009401;P1292833;P1292833;P12928;51179458
P12928011401;P1292832;P1292832;P12928;51179458
P12928012401;P1292834;P1292834;P12928;51179458
P12928048401;P1292803;P1292803;P12928;51179458
P12928048402;P1292805;P1292805;P12928;51179458
P13370009401;P1337002;P1337002;P13370;53123581
P15507015401;P1550701;P1550701;P15507;45346569
P15507015402;P1550702;P1550702;P15507;45346569
P15822009401;P1582201;P1582201;P15822;44258275
P16521010401;P1652108;P1652108;P16521;53376111
P16521011401;P1652104;P1652104;P16521;53376111
P16521014401;P1652106;P1652106;P16521;53376111
P18040011401;P1804002;P1804002;P18040;44413874
P18812009401;P1881202;P1881202;P18812;45313865
P18849010401;P1884902;P1884902;P18849;51944081
P19393005101;P1939301;P1939301;P19393;00607274
P19393005103;P1939301;P1939301;P19393;00607274
P19393005105;P1939301;P1939301;P19393;00607274
P19393005107;P1939301;P1939301;P19393;00607274
P19393073101;P1939301;P1939301;P19393;00607274
P19393074101;P1939301;P1939301;P19393;00607274
P19795048401;P1979502;P1979502;P19795;47918497
P19800001101;P1980001;P1980001;P19800;45737967
P19800007101;P1980001;P1980001;P19800;45737967
P19800009101;P1980001;P1980001;P19800;45737967
P19800009177;;P19800xx;P19800;45737967
P19800009401;P1980001;P1980001;P19800;45737967
P19800010101;P1980001;P1980001;P19800;45737967
P19800010177;;P19800xx;P19800;45737967
P19800010401;P1980001;P1980001;P19800;45737967
P19800013101;P1980001;P1980001;P19800;45737967
P19800013401;P1980001;P1980001;P19800;45737967
P19800025101;P1980001;P1980001;P19800;45737967
P19800051101;P1980001;P1980001;P19800;45737967
P19800192101;P1980001;P1980001;P19800;45737967
P19800196101;P1980001;P1980001;P19800;45737967
P19800205101;P1980001;P1980001;P19800;45737967
P20419027102;P2041903;P2041903;P20419;36084328
P20419193101;P2041904;P2041904;P20419;36084328
P20419205101;P2041901;P2041901;P20419;36084328
P20534048401;P2053403;P2053403;P20534;47401869
P20979001101;P2097901;P2097901;P20979;00610381
P20979002101;P2097901;P2097901;P20979;00610381
P20979003101;P2097901;P2097901;P20979;00610381
P20979004101;P2097901;P2097901;P20979;00610381
P20979005101;P2097901;P2097901;P20979;00610381
P20979007101;P2097901;P2097901;P20979;00610381
P20979009101;P2097901;P2097901;P20979;00610381
P20979009401;P2097901;P2097901;P20979;00610381
P20979010101;P2097901;P2097901;P20979;00610381
P20979010401;P2097901;P2097901;P20979;00610381
P20979011401;P2097901;P2097901;P20979;00610381
P20979012101;P2097901;P2097901;P20979;00610381
P20979012401;P2097901;P2097901;P20979;00610381
P20979013101;P2097901;P2097901;P20979;00610381
P20979013401;P2097901;P2097901;P20979;00610381
P20979014101;P2097901;P2097901;P20979;00610381
P20979014401;P2097901;P2097901;P20979;00610381
P20979015101;P2097901;P2097901;P20979;00610381
P20979015401;P2097901;P2097901;P20979;00610381
P20979018101;P2097901;P2097901;P20979;00610381
P20979019101;P2097901;P2097901;P20979;00610381
P20979025101;P2097901;P2097901;P20979;00610381
P20979048401;P2097901;P2097901;P20979;00610381
P20979049102;P2097901;P2097901;P20979;00610381
P20979051101;P2097901;P2097901;P20979;00610381
P20979051102;P2097901;P2097901;P20979;00610381
P20979060101;P2097901;P2097901;P20979;00610381
P20979095101;P2097901;P2097901;P20979;00610381
P20979095102;P2097901;P2097901;P20979;00610381
P20979095199;;P20979xx;P20979;00610381
P20979196102;P2097901;P2097901;P20979;00610381
P20979197102;P2097901;P2097901;P20979;00610381
P20979199101;P2097901;P2097901;P20979;00610381
P20979201101;P2097901;P2097901;P20979;00610381
P20979202101;P2097901;P2097901;P20979;00610381
P20979203101;P2097901;P2097901;P20979;00610381
P20979602102;P2097901;P2097901;P20979;00610381
P20979613101;P2097901;P2097901;P20979;00610381
P21817015401;P2181702;P2181702;P21817;36547140
