psc;ZUJ;ZUJ_pravdepodobnost
94701;501247;0.08503859821100355
94701;501140;0.9149614017889964
94703;501140;1.0
94657;501115;1.0
94656;501123;1.0
94655;501328;1.0
94654;501034;1.0
94652;501166;1.0
94651;501280;1.0
94639;501174;0.7716637781629117
94639;501310;0.22833622183708838
94638;501336;0.6970588235294117
94638;555827;0.3029411764705882
94637;501255;1.0
94636;501212;1.0
94635;501077;1.0
94634;501395;1.0
94633;501263;1.0
94632;501239;0.8580455879034078
94632;501271;0.02798465357707064
94632;501352;0.11396975851952156
94631;501158;1.0
94621;501387;1.0
94619;501093;0.5209479475243335
94619;501379;0.2890393567498942
94619;501191;0.1900126957257723
94617;501069;0.28732227488151657
94617;501344;0.7126777251184834
94616;501042;0.4456140350877193
94616;580911;0.5543859649122806
94615;501361;1.0
94614;555819;0.07207547169811321
94614;501417;0.8743396226415094
94614;501221;0.05358490566037736
94613;501301;1.0
94612;501425;1.0
94603;501204;0.9602179836512261
94603;501107;0.03978201634877384
94602;501085;1.0
94601;501182;1.0
94505;501026;1.0
94504;501026;1.0
94501;501409;0.016204118173679498
94501;501026;0.9837958818263205
95652;502669;0.3469573115349682
93701;502987;0.8158434971621785
93701;502961;0.017026929114841202
93701;502537;0.020528921627822726
93701;502456;0.0708851587972467
93701;502731;0.07571549329791089
93601;581895;0.03850224927229426
93601;502782;0.9614977507277057
93587;502090;0.26268412438625205
93587;502715;0.5392798690671031
93587;502201;0.19803600654664485
93586;545350;1.0
93585;502189;0.273972602739726
93585;502154;0.4901065449010654
93585;502723;0.2359208523592085
93584;502871;0.28035538005923
93584;502243;0.24925962487660414
93584;502278;0.31638696939782823
93584;502740;0.1539980256663376
93582;502367;0.15410573678290213
93582;502642;0.8458942632170978
93581;502286;0.43315508021390375
93581;502928;0.5668449197860963
93577;502944;1.0
93575;502499;0.37893531768746425
93575;502375;0.4745277618775043
93575;502448;0.14653692043503147
93574;502626;0.6875
93574;502073;0.3125
93571;502791;1.0
93569;502651;1.0
93568;502120;1.0
93567;502511;0.48
93567;502600;0.52
93566;502227;1.0
93565;502910;1.0
93564;502464;0.4515209125475285
93564;502472;0.5484790874524715
93563;555843;1.0
93562;502677;1.0
93561;502324;1.0
93557;503002;0.1323918799646955
93557;502391;0.8676081200353045
93556;502570;0.8256107834877844
93556;502758;0.17438921651221567
93555;502979;0.44905320108205593
93555;502251;0.5509467989179441
93552;502804;1.0
93551;502618;0.32281731474688186
93551;502847;0.27879677182685253
93551;502880;0.15774027879677183
93551;502049;0.24064563462949376
93541;502511;0.14444778814324405
93541;502821;0.8555522118567559
93538;502481;1.0
93537;502197;0.7726887192536047
93537;502294;0.22731128074639526
93536;502065;0.18692964380335592
93536;556777;0.014424492198999116
93535;502812;0.5350978135788262
93535;502359;0.26352128883774456
93535;502502;0.20138089758342922
93534;502936;1.0
93533;502596;1.0
93532;502413;1.0
93531;502171;0.41338582677165353
93531;502952;0.1377952755905512
93531;502260;0.44881889763779526
93529;502332;1.0
93527;502341;1.0
93526;502766;1.0
93525;502588;1.0
93524;502111;1.0
93523;502707;0.8989769820971867
93522;502421;1.0
93521;581160;0.15160472972972974
93521;581135;0.08044763513513513
93521;502863;0.7679476351351351
93506;502383;1.0
93505;502898;0.09197751660705161
93505;502693;0.9080224833929484
93504;502162;1.0
93503;502219;0.22563496751329
93503;502634;0.07501476668635558
93503;502057;0.6993502658003544
93502;502103;0.1940983606557377
93502;502995;0.8059016393442623
93405;502031;1.0
93401;502588;0.040873617427432486
93401;502430;0.02220537869855707
93401;502332;0.039329627758127
93401;502031;0.8975913761158835
01852;580937;0.032321041214750545
95201;500933;0.8788994579114248
95201;501018;0.04213971565920016
95201;500798;0.028127237393883606
95201;500569;0.05083358903549146
95188;500470;1.0
95178;500411;1.0
95174;500992;1.0
95173;500372;1.0
95161;555967;0.41338582677165353
95161;500160;0.5866141732283464
95154;556785;0.5331491712707183
95154;500518;0.46685082872928174
95153;500402;0.6517367458866545
95153;581623;0.3482632541133455
95151;500631;1.0
95148;500356;1.0
95146;500674;0.21540599563232082
95146;582697;0.07742703990470517
95145;545635;0.5508637236084453
95145;582425;0.4491362763915547
95144;581097;0.09811165845648605
95144;500941;0.9018883415435139
95143;500381;0.4593212459321246
95143;500101;0.5406787540678754
95142;500950;1.0
95141;580899;1.0
95137;500712;1.0
95136;500453;1.0
95135;500887;1.0
95134;500046;1.0
95126;500780;1.0
95125;500313;1.0
95124;582387;0.3074176913923046
95124;500399;0.07298690995636652
95124;500534;0.10551368504561681
95124;500640;0.514081713605712
95123;500488;0.7150735294117647
95122;500020;1.0
95121;500704;1.0
95117;545589;1.0
95116;555991;1.0
95115;500577;0.6379912663755458
95115;500691;0.14279475982532752
95115;500844;0.14912663755458516
95115;581691;0.07008733624454148
95113;500071;1.0
95112;558320;1.0
95108;500232;1.0
95107;555886;0.7352079671939075
95107;555908;0.26479203280609254
95106;500917;1.0
95105;500895;0.8057482656095144
95105;500666;0.19425173439048563
95104;555860;0.6100872938894277
95104;555851;0.38991270611057227
95103;500411;0.5899581589958159
95103;500135;0.4100418410041841
95102;555959;0.14826021180030258
95102;500682;0.4205748865355522
95102;500194;0.43116490166414523
95101;556696;0.6811414392059554
95101;582719;0.3188585607940447
94911;500011;1.0
94907;500011;1.0
94905;500011;1.0
94901;500011;1.0
94365;503347;0.12955729166666666
94365;503037;0.12760416666666666
94365;503312;0.10026041666666667
94365;503231;0.4130859375
94365;503207;0.2294921875
94361;503355;0.2801182557280118
94361;503525;0.7198817442719881
94360;556092;1.0
94359;556033;0.32819722650231126
94359;503541;0.6718027734976888
94358;503258;1.0
94357;503240;1.0
94356;503088;1.0
94355;503100;1.0
94354;503568;1.0
94353;503061;0.0799114826653553
94353;503339;0.09933611999016474
94352;503401;1.0
94342;503576;0.11777777777777777
94342;503436;0.20825396825396825
